Header,Condition ,Concentration 1
A2,H2O,1
A3,H2O,1
A4,H2O,1
A5,H2O,1
A6,H2O,1
A7,H2O,1
A8,H2O,1
A9,H2O,1
A10,H2O,1
A11,H2O,1
B2,Copper,10
B3,Copper,3.333333333
B4,Copper,1.111111111
B5,Copper,0.37037037
B6,Copper,0.12345679
B7,Copper,0.041152263
B8,Copper,0.013717421
B9,Copper,0.004572474
B10,Copper,0.001524158
B11,Copper,0.000508053
C2,Copper,10
C3,Copper,3.333333333
C4,Copper,1.111111111
C5,Copper,0.37037037
C6,Copper,0.12345679
C7,Copper,0.041152263
C8,Copper,0.013717421
C9,Copper,0.004572474
C10,Copper,0.001524158
C11,Copper,0.000508053
D2,Copper,10
D3,Copper,3.333333333
D4,Copper,1.111111111
D5,Copper,0.37037037
D6,Copper,0.12345679
D7,Copper,0.041152263
D8,Copper,0.013717421
D9,Copper,0.004572474
D10,Copper,0.001524158
D11,Copper,0.000508053
E2,Cobalt,10
E3,Cobalt,3.333333333
E4,Cobalt,1.111111111
E5,Cobalt,0.37037037
E6,Cobalt,0.12345679
E7,Cobalt,0.041152263
E8,Cobalt,0.013717421
E9,Cobalt,0.004572474
E10,Cobalt,0.001524158
E11,Cobalt,0.000508053
F2,Cobalt,10
F3,Cobalt,3.333333333
F4,Cobalt,1.111111111
F5,Cobalt,0.37037037
F6,Cobalt,0.12345679
F7,Cobalt,0.041152263
F8,Cobalt,0.013717421
F9,Cobalt,0.004572474
F10,Cobalt,0.001524158
F11,Cobalt,0.000508053
G2,Cobalt,10
G3,Cobalt,3.333333333
G4,Cobalt,1.111111111
G5,Cobalt,0.37037037
G6,Cobalt,0.12345679
G7,Cobalt,0.041152263
G8,Cobalt,0.013717421
G9,Cobalt,0.004572474
G10,Cobalt,0.001524158
G11,Cobalt,0.000508053
H2,Lead,10
H3,Lead,3.333333333
H4,Lead,1.111111111
H5,Lead,0.37037037
H6,Lead,0.12345679
H7,Lead,0.041152263
H8,Lead,0.013717421
H9,Lead,0.004572474
H10,Lead,0.001524158
H11,Lead,0.000508053
